,id,label,srcAddress,srcPort,destAddress,destPort,appProtocol
392,349387c0-e142-41b6-8a23-322f2767c8a5,疑似恶意流量,172.16.96.89,49331,10.53.74.150,443,tls
393,4107c2ca-0422-47fa-aee5-091122447032,疑似恶意流量,172.16.96.89,49359,10.53.74.150,443,tls
394,85b30200-f94f-4c11-94e3-633725b44754,疑似恶意流量,172.16.96.89,49192,10.53.74.150,443,tls
395,4f0868d4-ede4-432a-b0a2-f04f620c901c,疑似恶意流量,172.16.96.89,49224,10.53.74.150,443,tls
396,d0b1e42b-e63f-40b0-94ad-3dc48be4cf45,疑似恶意流量,172.16.96.89,49337,10.53.74.150,443,tls
397,3bc05929-f978-4750-a721-75f6b7d3c001,疑似恶意流量,172.16.96.89,49196,10.53.74.150,443,tls
398,ceb6973c-bfed-4748-a0ca-5f0dbeb83990,疑似恶意流量,172.16.96.89,49298,10.53.74.150,443,tls
399,250bcec6-9456-4bc2-9e97-4702bd787b3c,疑似恶意流量,172.16.96.89,49335,10.53.74.150,443,tls
400,3fcf919a-2d5c-46be-bd9a-ca44a5e6bf2d,疑似恶意流量,172.16.96.89,49300,10.53.74.150,443,tls
401,ae3d11c8-cdf0-45ab-894f-aa375d0112d3,疑似恶意流量,172.16.96.89,49230,10.53.74.150,443,tls
402,05421542-4a5f-44d4-9a5f-43ecddc6bfd9,疑似恶意流量,172.16.96.89,49378,10.53.74.150,443,tls
403,6d9d7406-9938-40ad-a4e4-b69401402d81,疑似恶意流量,172.16.96.89,49310,10.53.74.150,443,tls
404,ae97f55b-7834-469a-a90d-449e7dc349a9,疑似恶意流量,172.16.96.89,49325,10.53.74.150,443,tls
438,4a6aa2e4-a3df-49be-957d-93506b61ec42,疑似恶意流量,172.16.96.25,49412,10.178.21.125,443,tls
439,86f19174-ff8a-47de-81c7-b79493e325c5,疑似恶意流量,172.16.96.25,49743,10.178.21.125,443,tls
440,05dde3a8-5925-4ab5-8164-c2f03e72037e,疑似恶意流量,172.16.96.25,49392,10.178.21.125,443,tls
441,84e3ddd4-ed1d-4fa4-ae4c-ad7f93ae5a30,疑似恶意流量,172.16.96.25,49661,10.178.21.125,443,tls
442,33f4a7e2-4232-4f14-9dce-42b4bf5a6db9,疑似恶意流量,172.16.96.25,49663,10.178.21.125,443,tls
443,c1fc6b76-5b87-4fd9-9ddd-c072b0415988,疑似恶意流量,172.16.96.25,49410,10.178.21.125,443,tls
444,96a4f7bd-caa3-4e0e-a880-f9b40ba42992,疑似恶意流量,172.16.96.25,49503,10.178.21.125,443,tls
445,5f6d8dfe-b3db-436e-8b23-78722e9c892b,疑似恶意流量,172.16.96.25,49680,10.178.21.125,443,tls
446,80b749ae-db04-46d1-aa09-7062fe549911,疑似恶意流量,172.16.96.25,49421,10.178.21.125,443,tls
447,7d061e26-2672-4581-a8d1-c4fcb3973173,疑似恶意流量,172.16.96.25,49745,10.178.21.125,443,tls
448,1c579696-01ac-4e7f-a833-ab389e26a469,疑似恶意流量,172.16.96.25,49747,10.178.21.125,443,tls
449,b3278ebb-ea45-42c8-aca0-60cbe4fef395,疑似恶意流量,172.16.96.25,49534,10.178.21.125,443,tls
450,2077a730-0cea-44a3-bdaa-c48da964c7ed,疑似恶意流量,172.16.96.25,49650,10.178.21.125,443,tls
451,c5f2c82d-684c-435d-8fa3-677e2982b9e6,疑似恶意流量,172.16.96.25,49605,10.178.21.125,443,tls
452,1a79f04e-ad93-4f45-b468-339a81b54268,疑似恶意流量,172.16.96.25,49630,10.178.21.125,443,tls
453,84ee9603-26bc-42d1-9986-b3199d992e31,疑似恶意流量,172.16.96.25,49429,10.178.21.125,443,tls
454,068e3b59-28b7-4c50-a608-6de8501b9bcd,疑似恶意流量,172.16.96.25,49725,10.178.21.125,443,tls
455,5bafc16d-7439-4dae-980e-ffb64f58ce44,疑似恶意流量,172.16.96.25,49658,10.178.21.125,443,tls
456,62ac85e5-934c-422e-9c40-8d128c5a8f3f,疑似恶意流量,172.16.96.25,49607,10.178.21.125,443,tls
457,76eca112-5f05-425b-8fbc-54f6104e25cb,疑似恶意流量,172.16.96.25,49445,10.178.21.125,443,tls
458,8ef6761f-8adb-4be7-b1f5-563204bfa661,疑似恶意流量,172.16.96.25,49714,10.178.21.125,443,tls
459,595c326f-6b9e-48fd-8c6e-6f8f3a85d553,疑似恶意流量,172.16.96.25,49716,10.178.21.125,443,tls
460,150d4027-d6f2-4a67-b884-f47c1d7c13cb,疑似恶意流量,172.16.96.25,49749,10.178.21.125,443,tls
461,db8364f8-89fc-46c1-9d3a-3111ddd8880e,疑似恶意流量,172.16.96.25,49408,10.178.21.125,443,tls
462,5b8ed17a-b93f-41ca-89f0-e8daa7e729ca,疑似恶意流量,172.16.96.25,49462,10.178.21.125,443,tls
463,6d6f1d53-c5ea-4873-8bb6-866cf6f04258,疑似恶意流量,172.16.96.25,49485,10.178.21.125,443,tls
464,5620345f-7b3a-45ab-8356-567aa9ab0c5c,疑似恶意流量,172.16.96.25,49706,10.178.21.125,443,tls
483,b8d55dc8-0bf8-4aad-88e9-d2de53fdef28,疑似恶意流量,172.16.96.213,49559,10.187.178.124,443,tls
484,04ad3416-d041-494d-85c4-71424953b968,疑似恶意流量,172.16.96.213,49562,10.187.178.124,443,tls
485,4a6479b3-b39c-41ec-b195-45b91e668c52,疑似恶意流量,172.16.96.213,49508,10.187.178.124,443,tls
486,4c2c5814-a455-4f56-b491-a6a31d95da17,疑似恶意流量,172.16.96.213,49182,10.187.178.124,443,tls
510,bfa68d80-26aa-46f4-ba11-7bb1c852bccd,疑似恶意流量,172.16.96.163,402,10.23.136.52,443,tls
511,821de0f0-83b2-4fc5-97b5-4848543baaa7,疑似恶意流量,172.16.96.163,402,10.23.136.52,443,tls
512,4b94b1ab-666c-4ac0-b757-12bae6a0c5b7,疑似恶意流量,172.16.96.163,817,10.23.136.52,443,tls
513,3246d7a4-93a6-4ec0-9c29-e377ff1361ca,疑似恶意流量,172.16.96.163,817,10.23.136.52,443,tls
579,d00ae1c0-1492-418b-b069-915098a1db56,疑似恶意流量,172.16.95.39,50416,10.81.32.147,443,tls
672,8d041c55-591d-48ab-b9b9-1736109b7253,疑似恶意流量,172.16.95.12,49251,10.107.10.51,443,tls
674,1b208005-9e06-48db-8153-ca5593199144,疑似恶意流量,172.16.95.118,62815,10.108.99.73,443,tls
676,9db0baeb-f2b9-4486-ba98-d830f3433923,疑似恶意流量,172.16.95.118,62817,10.108.99.73,443,tls
688,6e2cd3b5-8ed2-4a7b-84ba-d02f64622e5d,疑似恶意流量,172.16.94.93,49167,10.53.77.113,443,tls
713,f0f6ac27-22da-4f41-80ef-4d2d85534293,疑似恶意流量,172.16.94.27,49316,10.8.22.97,8001,tls
736,5e3624b8-d3d9-4aaa-aabb-1e3d5e8138bb,疑似恶意流量,172.16.94.213,49966,10.126.178.148,443,tls
737,a455bf62-eeeb-4f35-b583-51a8be8e7c85,疑似恶意流量,172.16.94.213,49959,10.126.178.148,443,tls
738,c01d1d33-bf34-4ff1-add0-54f0ed2658e7,疑似恶意流量,172.16.94.213,49931,10.126.178.148,443,tls
739,9d1e632f-3beb-40f7-8ce0-cfecc8210ed0,疑似恶意流量,172.16.94.213,49925,10.126.178.148,443,tls
787,d474a1f4-ac54-43c2-9715-f413207b391b,疑似恶意流量,172.16.93.92,49227,10.23.77.175,443,tls
799,d51c3fa0-7f25-4628-8bb2-0d5124d9ebad,疑似恶意流量,172.16.93.74,49247,10.155.61.154,443,tls
800,9b0e122b-4f3e-4b8e-a880-17c963df3088,疑似恶意流量,172.16.93.74,49232,10.155.61.154,443,tls
801,be611c1e-b83a-4f7f-82ed-ca9e0e42f445,疑似恶意流量,172.16.93.74,49216,10.155.61.154,443,tls
802,a8b745d0-f99a-40f8-97dd-1a861fdb1c4c,疑似恶意流量,172.16.93.74,49210,10.155.61.154,443,tls
803,609a4a18-b4e2-4c30-8705-a20fbce29415,疑似恶意流量,172.16.93.74,49234,10.155.61.154,443,tls
804,ec0af776-febf-469b-853c-7424a33ff390,疑似恶意流量,172.16.93.74,49241,10.155.61.154,443,tls
805,f5f62605-1d75-4e9f-8ad8-5ce8b3530099,疑似恶意流量,172.16.93.74,49239,10.155.61.154,443,tls
806,175da000-3fbf-4420-b1e5-432ca5874a8a,疑似恶意流量,172.16.93.74,49235,10.155.61.154,443,tls
807,27efe030-e8b4-4f7b-8ace-f7f298e033b5,疑似恶意流量,172.16.93.74,49240,10.155.61.154,443,tls
933,150ed891-176a-4665-abf7-5b8660e47fe6,疑似恶意流量,172.16.92.76,49237,10.115.64.23,443,tls
934,482dd340-c67a-4661-af16-16b05c2d0f61,疑似恶意流量,172.16.92.76,49215,10.115.64.23,443,tls
935,5c1a4d12-860b-4693-a4f3-21687a904c99,疑似恶意流量,172.16.92.76,49218,10.115.64.23,443,tls
951,9278a51d-f1f2-47da-9efe-e51e796af26f,疑似恶意流量,172.16.92.5,64762,10.158.4.155,443,tls
1061,079c1214-1bb7-43e3-b53e-a558236be515,疑似恶意流量,172.16.91.29,49219,10.103.24.1,443,tls
1062,c14c56a0-a1fc-4abd-9993-d062e2695a06,疑似恶意流量,172.16.91.29,49222,10.103.24.1,443,tls
1063,8e316e97-fb40-444c-9261-08faea2dddd5,疑似恶意流量,172.16.91.29,49220,10.103.24.1,443,tls
1064,cd5d4106-8c81-49dc-992c-57d307d1e3b9,疑似恶意流量,172.16.91.29,49211,10.103.24.1,443,tls
1065,8a612dba-8733-4f2f-afcd-9d34fe4c582f,疑似恶意流量,172.16.91.29,49224,10.103.24.1,443,tls
1103,4034208d-01c2-4c45-90af-036b23b516de,疑似恶意流量,172.16.91.155,55362,10.87.129.78,449,tls
1104,adc36482-8ad4-40b5-8ab1-1d63d769cfe0,疑似恶意流量,172.16.91.155,55405,10.87.129.78,449,tls
1105,9547bb7d-8304-42f7-b561-eb24ba5b3cdf,疑似恶意流量,172.16.91.155,55458,10.87.129.78,449,tls
1106,a7dac6f2-436c-4612-a338-f5e40019d0ee,疑似恶意流量,172.16.91.155,55219,10.87.129.78,449,tls
1107,19ba9357-9710-4343-b90b-2c64e4c7c80e,疑似恶意流量,172.16.91.155,55924,10.87.129.78,449,tls
1108,f72d239c-917b-47a3-8b4b-d1c9f409a323,疑似恶意流量,172.16.91.155,55366,10.87.129.78,449,tls
1109,5d5bd874-b860-4dbf-bdce-161abc0c8803,疑似恶意流量,172.16.91.155,55889,10.87.129.78,449,tls
1110,b1271a2d-7b81-4fc1-9cde-92e0e5d4f467,疑似恶意流量,172.16.91.155,55413,10.87.129.78,449,tls
1111,eb930d08-8f59-4985-8411-e218dd3dcb83,疑似恶意流量,172.16.91.155,55903,10.87.129.78,449,tls
1112,6e672193-bd4e-4d5d-943c-f251ee16bc41,疑似恶意流量,172.16.91.155,55424,10.87.129.78,449,tls
1117,979eb94c-d318-4675-a791-d2345977ea90,疑似恶意流量,172.16.91.137,49215,10.132.115.76,9001,tls
1195,ac07bc6b-e61f-4fcc-8856-0bfcf8893030,疑似恶意流量,172.16.90.66,49817,10.97.55.0,443,tls
1229,6430a70a-ea7c-4029-ade6-fbf5ad4df07b,疑似恶意流量,172.16.90.216,49200,10.150.180.188,9001,tls
1230,d5eca128-e49b-4c34-9f5a-d8419dfb71bb,疑似恶意流量,172.16.90.216,49219,10.150.180.188,9001,tls
1238,8ca51942-fef4-4b37-a58b-7f97f38d6273,疑似恶意流量,172.16.90.200,49543,10.153.167.133,443,tls
1239,8054d2a3-08d4-4c00-a775-fa602b8bea2a,疑似恶意流量,172.16.90.200,49936,10.153.167.133,443,tls
1243,44eb40bb-b487-4ad9-92f1-e74c3401ff04,疑似恶意流量,172.16.90.19,49342,10.46.16.174,449,tls
1244,5a685851-1fa4-4c43-b13c-56c7e5a1c3b9,疑似恶意流量,172.16.90.19,49344,10.46.16.174,449,tls
1350,60aa411d-8fc4-4daa-882e-aa15af05251d,疑似恶意流量,172.16.9.164,49262,10.110.137.5,443,tls
1351,f27edba1-cac9-419f-807e-380c534e0efd,疑似恶意流量,172.16.9.164,49202,10.110.137.5,443,tls
1352,52d2abdd-351e-4613-8779-60afd7d64752,疑似恶意流量,172.16.9.164,49259,10.110.137.5,443,tls
1353,65d39785-cbc7-46c1-b496-eaecc03dcc68,疑似恶意流量,172.16.9.164,49204,10.110.137.5,443,tls
1354,ca1894a3-cfcf-4029-9056-d0f1168339c5,疑似恶意流量,172.16.9.164,49231,10.110.137.5,443,tls
1355,31337730-22fa-4341-835a-1e50ae5b02c8,疑似恶意流量,172.16.9.164,49195,10.110.137.5,443,tls
1356,9b3a04a5-80b9-4ecc-8ef9-34454445cd25,疑似恶意流量,172.16.9.164,49221,10.110.137.5,443,tls
1543,8400204d-c19e-41b4-899d-0026b2f19e74,疑似恶意流量,172.16.88.176,49496,10.141.146.41,449,tls
1544,6805a7f5-4e91-44ee-993c-82043c7912e9,疑似恶意流量,172.16.88.176,49194,10.141.146.41,449,tls
1545,0ece2c2c-ea13-43fc-a207-ad967ee1997a,疑似恶意流量,172.16.88.176,49529,10.141.146.41,449,tls
1740,c28ba9a2-5f70-4549-910a-350ba3b5a27b,疑似恶意流量,172.16.86.171,49213,10.45.142.125,443,tls
1741,aba9396a-01a9-4543-9fb6-7cbba774cea8,疑似恶意流量,172.16.86.171,49279,10.45.142.125,443,tls
1742,bfbef537-6b9c-4468-a49a-17784f864c33,疑似恶意流量,172.16.86.171,49250,10.45.142.125,443,tls
1743,c85d9190-2200-4ded-91b8-7aeb5908d5d6,疑似恶意流量,172.16.86.171,49281,10.45.142.125,443,tls
1744,b72df0ee-b1f4-49e7-9120-1f021dfd02eb,疑似恶意流量,172.16.86.171,49249,10.45.142.125,443,tls
1745,e1257946-7e3b-4a23-9199-02852d2cae79,疑似恶意流量,172.16.86.171,49219,10.45.142.125,443,tls
1765,6695ea51-4fef-4ebd-b1dc-c9f29c5c6884,疑似恶意流量,172.16.85.95,49237,10.145.79.148,449,tls
1766,b48b907e-25bd-41e3-b540-5fdbb059f823,疑似恶意流量,172.16.85.95,49213,10.145.79.148,449,tls
1767,41ec6ada-9412-446d-9fdd-02a82e414084,疑似恶意流量,172.16.85.95,49384,10.145.79.148,449,tls
1770,3b32b868-db3a-4727-892f-e1c86df7f2b7,疑似恶意流量,172.16.85.82,49280,10.71.69.188,443,tls
1771,1cd379d6-8d6f-4a54-8abf-f25da1d0e80c,疑似恶意流量,172.16.85.82,49435,10.71.69.188,443,tls
1772,5edc3f73-6017-4733-afd7-bc334dd4a9a3,疑似恶意流量,172.16.85.82,49338,10.71.69.188,443,tls
1773,9b998114-0db8-4cc2-ac03-6a81d800afe5,疑似恶意流量,172.16.85.82,49447,10.71.69.188,443,tls
1774,eac91928-4f94-4ff1-ad6b-9dcefa9c84a6,疑似恶意流量,172.16.85.82,49270,10.71.69.188,443,tls
1775,3f807a43-623e-445d-b8d0-cc11445ea8d3,疑似恶意流量,172.16.85.82,49356,10.71.69.188,443,tls
1776,41b57d59-0a9c-4ae5-ab20-0dd50d4de562,疑似恶意流量,172.16.85.82,49385,10.71.69.188,443,tls
1777,9ffe9011-2f36-409c-9ee4-c67438ff7e3b,疑似恶意流量,172.16.85.82,49399,10.71.69.188,443,tls
1778,fe5baf29-6d73-4b32-9d19-744e70bbaaa6,疑似恶意流量,172.16.85.82,49294,10.71.69.188,443,tls
1779,a2643b9d-cb0c-4640-a81a-dcddf20df680,疑似恶意流量,172.16.85.82,49453,10.71.69.188,443,tls
1781,a191073e-f482-4b9a-9113-3069f11a179d,疑似恶意流量,172.16.85.82,49436,10.71.69.188,443,tls
1782,dad00bf4-3237-45bf-b571-884a538804d2,疑似恶意流量,172.16.85.82,49310,10.71.69.188,443,tls
1783,565df6a3-b471-410c-bfee-aee62b7e985a,疑似恶意流量,172.16.85.82,49392,10.71.69.188,443,tls
1784,31e47fad-ca9d-4905-be1b-b14d18081083,疑似恶意流量,172.16.85.82,49236,10.71.69.188,443,tls
1785,5a64d962-32b1-4927-a356-0e65a5b39026,疑似恶意流量,172.16.85.82,49244,10.71.69.188,443,tls
1786,56919926-46d3-4184-9819-df216352a161,疑似恶意流量,172.16.85.82,49362,10.71.69.188,443,tls
1787,47b8582c-21fe-4bbb-962b-5f312d6c98cf,疑似恶意流量,172.16.85.82,49258,10.71.69.188,443,tls
1788,8a336c74-1fd0-4304-a17c-292230da0766,疑似恶意流量,172.16.85.82,49355,10.71.69.188,443,tls
1789,c92b7204-bb94-4f70-a85c-07a21288b31c,疑似恶意流量,172.16.85.82,49444,10.71.69.188,443,tls
1790,7274fe4d-f40f-4dfa-bc3d-d0d068548165,疑似恶意流量,172.16.85.82,49333,10.71.69.188,443,tls
1791,980d19fa-1643-4229-9f81-8f36046a1e2e,疑似恶意流量,172.16.85.82,49297,10.71.69.188,443,tls
1792,c001c9ac-c3d8-4846-9de0-e0ee783c3631,疑似恶意流量,172.16.85.82,49304,10.71.69.188,443,tls
1793,21c9231d-0786-4a85-93fa-e2fa7c55bbc5,疑似恶意流量,172.16.85.82,49409,10.71.69.188,443,tls
1794,a8717657-3fb2-4279-88ed-2e81694ada88,疑似恶意流量,172.16.85.82,49415,10.71.69.188,443,tls
1795,10675302-2a11-4c64-89a3-a31cd8c04ee0,疑似恶意流量,172.16.85.82,49386,10.71.69.188,443,tls
1796,321c4f22-5f01-40e9-98bf-ad7c761d8fd3,疑似恶意流量,172.16.85.82,49250,10.71.69.188,443,tls
1797,466cc1f5-2f42-4de0-9f15-7ea8f38e1fa0,疑似恶意流量,172.16.85.82,49341,10.71.69.188,443,tls
1798,ba361a74-4d39-4131-93b1-c67f3ee93d76,疑似恶意流量,172.16.85.82,49450,10.71.69.188,443,tls
1799,a01b1bc7-6964-40aa-8db7-e1e708cc926b,疑似恶意流量,172.16.85.82,49367,10.71.69.188,443,tls
1800,5a245be3-e6fc-4aaa-8aee-2352cd744249,疑似恶意流量,172.16.85.82,49397,10.71.69.188,443,tls
1893,ef97a75d-ee07-490e-bbe0-04e12001cd3d,疑似恶意流量,172.16.85.119,61378,10.61.99.188,8888,tls
1910,f8fdefc6-7168-4fc3-abe9-adecc4a6cc17,疑似恶意流量,172.16.84.94,49244,10.61.78.96,447,tls
1919,c0d43b4b-10a4-42ca-8479-6f9cacb5353f,疑似恶意流量,172.16.84.65,49251,10.128.54.25,443,tls
1920,c72aed23-09cb-419c-a066-160dcd4ec98a,疑似恶意流量,172.16.84.65,49275,10.128.54.25,443,tls
1921,de624352-f5a7-4892-8053-86f8906d7a0e,疑似恶意流量,172.16.84.65,49248,10.128.54.25,443,tls
1922,ea13c067-481f-4fd0-9027-f76301a28bfa,疑似恶意流量,172.16.84.65,49294,10.128.54.25,443,tls
1923,0e6e6512-e5f3-4f8e-bc26-0f44cc9e317c,疑似恶意流量,172.16.84.65,49256,10.128.54.25,443,tls
1930,f88d22bf-9556-483b-b811-43807e68bb15,疑似恶意流量,172.16.84.54,49408,10.182.45.74,443,tls
1931,a1041981-5abd-45d3-82f3-058e9d5a49d4,疑似恶意流量,172.16.84.54,49305,10.182.45.74,443,tls
1932,a94f6cfb-e574-4b72-83a1-782b42180160,疑似恶意流量,172.16.84.54,49227,10.182.45.74,443,tls
1933,9fc9eaa0-0169-4516-8191-524a1178b5a8,疑似恶意流量,172.16.84.54,49278,10.182.45.74,443,tls
1934,cc8139fa-afa3-4618-9f6c-155287b952c9,疑似恶意流量,172.16.84.54,49369,10.182.45.74,443,tls
1935,d8516990-0666-4917-b011-a55e2fe7af13,疑似恶意流量,172.16.84.54,49301,10.182.45.74,443,tls
1936,96f4ad32-4943-45b0-a313-028f3121be0f,疑似恶意流量,172.16.84.54,49223,10.182.45.74,443,tls
1937,34a82ab9-f441-4a38-8ebc-fb036bf6e6d3,疑似恶意流量,172.16.84.54,49291,10.182.45.74,443,tls
1938,01095a5a-d1ad-4e3b-80f2-f9997e438ec9,疑似恶意流量,172.16.84.54,49386,10.182.45.74,443,tls
1939,7a2d0522-d153-4b78-9279-674e5bf96770,疑似恶意流量,172.16.84.54,49406,10.182.45.74,443,tls
1940,6043bf56-c2d8-4511-a7f4-d4c0a445f7c1,疑似恶意流量,172.16.84.54,49384,10.182.45.74,443,tls
1941,0ecda334-4b00-4d02-ac27-65e0bc861c2f,疑似恶意流量,172.16.84.54,49274,10.182.45.74,443,tls
1942,8656353c-e543-4c2d-b18a-2e15ae5758fa,疑似恶意流量,172.16.84.54,49338,10.182.45.74,443,tls
1943,236f59b8-a6ac-423c-9b1a-1da9b9649bc4,疑似恶意流量,172.16.84.54,49270,10.182.45.74,443,tls
1944,3bf45099-9074-44c0-9f61-2c60b51d63bd,疑似恶意流量,172.16.84.54,49402,10.182.45.74,443,tls
1945,b3df03c2-95fa-477c-a980-31cecaf40ae0,疑似恶意流量,172.16.84.54,49287,10.182.45.74,443,tls
1946,0156b943-5cd7-4fa2-8621-22da46915104,疑似恶意流量,172.16.84.54,49255,10.182.45.74,443,tls
1947,6be0b177-68af-40bf-aa8c-1bc2362d9369,疑似恶意流量,172.16.84.54,49260,10.182.45.74,443,tls
1948,e3ca05c6-5b2c-49de-af6b-01d30c9e2cf6,疑似恶意流量,172.16.84.54,49342,10.182.45.74,443,tls
1949,f14c8caf-5143-4d5f-b46c-d7aea58bd2f6,疑似恶意流量,172.16.84.54,49328,10.182.45.74,443,tls
1950,d7f0548e-448d-44b5-803d-87f303c18ddf,疑似恶意流量,172.16.84.54,49392,10.182.45.74,443,tls
1951,89fccf24-cf71-4735-aac4-1834997301e2,疑似恶意流量,172.16.84.54,49340,10.182.45.74,443,tls
1966,f370b327-6767-4fb8-a754-471d370fbd9c,疑似恶意流量,172.16.84.249,49172,10.62.208.76,443,tls
1967,dc5d5430-327a-4edf-8b0f-23ad0aa6c6d9,疑似恶意流量,172.16.84.249,49179,10.62.208.76,443,tls
2013,e4c72624-1691-4da1-ac0f-564e930f5814,疑似恶意流量,172.16.84.180,49204,10.38.150.177,443,tls
2014,33b81b8a-b3f9-4516-a9b7-f172adc8dc39,疑似恶意流量,172.16.84.180,49200,10.38.150.177,443,tls
2015,8a4a7db3-1d36-4563-a4e7-196790cbc140,疑似恶意流量,172.16.84.180,49255,10.38.150.177,443,tls
2016,ac752bf4-166e-4f03-803b-db871db8d581,疑似恶意流量,172.16.84.180,49287,10.38.150.177,443,tls
2017,0f9a987b-db8b-46f1-9470-5118ee52010d,疑似恶意流量,172.16.84.180,49281,10.38.150.177,443,tls
2018,7b460d45-fe1c-4b81-a603-afdabab6b8ec,疑似恶意流量,172.16.84.180,49251,10.38.150.177,443,tls
2019,f6b3af73-2fe5-47a5-84d3-2c70edc2b158,疑似恶意流量,172.16.84.180,49243,10.38.150.177,443,tls
2178,d1281941-8680-46df-b543-95b020dc723e,疑似恶意流量,172.16.82.86,49166,10.51.72.109,449,tls
2264,9c4cbab2-34fe-42cc-a482-712599bdb70d,疑似恶意流量,172.16.82.25,49201,10.16.21.188,443,tls
2289,b30f76b4-0591-4b83-92a4-5b9c4abaea13,疑似恶意流量,172.16.82.185,49199,10.73.154.180,443,tls
2336,15745e7d-7a41-41eb-b8e9-e53ee56c9f3c,疑似恶意流量,172.16.81.50,49285,10.59.42.63,443,tls
2440,681fcaad-fcca-4f98-bb11-56ed060fefb5,疑似恶意流量,172.16.80.247,49289,10.52.206.121,447,tls
2533,fe80d7f3-4ea2-401d-9a1c-f7f3f836c1ef,疑似恶意流量,172.16.8.6,49246,10.2.5.107,447,tls
2558,223c32f0-d989-4288-bab4-208a3311cd97,疑似恶意流量,172.16.8.224,49186,10.192.187.65,443,tls
2589,35eb31c2-3c07-4333-9edb-dd1b7a788d24,疑似恶意流量,172.16.8.167,49256,10.163.139.62,9001,tls
2590,43b5d47c-b184-44df-b5f3-390ee2c6b832,疑似恶意流量,172.16.8.167,49318,10.163.139.62,9001,tls
